Label,English,Chinese,Korean,Vietnamese
assess_tab_assessments,Assessments,学习评估,,
assess_button_search,Search,搜索,,
assess_text_search teacher,Search Teacher,搜索老师,,
assess_filter_column_status,Status,状态,,
assess_filter_all,All,查看所有,,
assess_filter_complete,Complete,仅查看已完成的,,
assess_filter_in_progress,In Progress,仅查看未完成的,,
assess_sort_by,Sort By,排序,,
assess_class_end_time_new_old,Class End Time (New-Old),课程结束时间 (新到旧）,,
assess_class_end_time_old_new,Class End Time (Old -New),课程结束时间 (旧到新）,,
assess_complete_time_new_old,Complete Time(New-Old),评估时间 (新到旧）,,
assess_complete_time_old_new,Complete Time(Old-New),评估时间 (旧到新）,,
assess_column_title,Assessment Title,评估名称,,
assess_column_subject,Subject,学科,,
assess_column_program,Program,课程,,
assess_column_teacher,Teacher,老师,,
assess_column_class_end_time,Class End Time,课程结束时间,,
assess_column_complete_time,Complete Time,评估时间,,
assess_button_cancel,Cancel,取消,,
assess_button_save,Save,保存,,
assess_button_complete,Complete,提交,,
assess_assessment_details,Assessment Details,学习评估详细信息,,
assess_class_summary,Class Summary,课程总结,,
assess_detail_attendance,Attendance,出席学生,,
assess_button_edit,Edit,编辑,,
assess_detail_class_length,Class Length,课程时长,,
assess_detail_minutes,Minutes,分钟,,
assess_detail_number_activity,Number of Activities,活动数量,,
assess_detail_number_lo,Number of Learning Outcomes,学习成果数量,,
assess_detail_assessment_complete_time,Assessment Complete Time,评估完成时间,,
assess_popup_edit_attendance,Edit Attendance,编辑出席学生名单,,
assess_button_ok,Ok,确定,,
assess_filter_assumed,Assumed,假定达标,,
assess_filter_unassumed,Unassumed,假定未达标,,
assess_column_lo,Learning Outcomes,学习成果,,
assess_option_award all,Award All,全部达标,,
assess_option_skip,Skip,跳过,,
assess_option_assessing_actions,Assessing Actions,评估,,
assess_msg_discard,Discard unsaved changes?,确定不保存吗？,,
assess_msg_cannot_delete,You cannot change the assessment after clicking Complete.,提交后后您不可以对评估结果进行修改。,,
assess_msg_ one_student,You must choose at least one student.,您必须至少选择一名学生。,,
assess_button_discard,Discard,不保存,,
assess_msg_no_lo,No learning outcome is available.,此课程未绑定任何学习成果,,
assess_msg_missing_infor,Please fill in all the information.,请填写所有信息以继续。,,
assess_msg_save_successfully,Save Successfully.,保存成功,,
assess_msg_compete_successfully,Complete Successfully.,提交成功,,
