Label,English,Chinese,Korean,Vietnamese
library_label_create,Create,新建,,
library_label_for_organizations,For Organizations,机构,,
library_label_cancel,Cancel,取消,,
library_label_save,Save,保存,,
library_label_publish,Publish,发布,,
library_msg_publish_content,Are you sure you want to publish this content?,确定要发布这个内容吗？,,
library_label_ok,OK,确定,,
library_label_create_new_content,Create New Content,新建内容,,
library_label_lesson_material,Lesson Material,教学素材,,
library_label_lesson_plan,Lesson Plan,教学计划,,
library_label_details,Details,详情,,
library_label_learning_outcomes,Learning Outcomes,学习成果,,
library_label_added_learning_outcomes,Added Learning Outcomes,添加的学习成果,,
library_msg_coming_soon,Coming soon...,即将推出,,
library_label_assets,Assets,资源库,,
library_label_material_name,Material Name,素材名称,,
library_label_thumbnail,Thumbnail,缩略图,,
library_label_clip_image,Clip Image,裁剪图片,,
library_label_duration,Duration(Minutes),时长(分钟),,
library_label_program,Program,课程,,
library_label_subject,Subject,学科,,
library_label_category,Category,类别,,
library_label_subcategory,Subcategory,子类别,,
library_label_age,Age,年龄,,
library_label_grade,Grade,年级,,
library_label_visibility_settings,Visibility Settings,可见范围,,
library_label_visibility_settings1,School,学校,,
library_label_visibility_settings2,Organization,机构,,
library_label_description,Description,描述,,
library_label_keywords,Keywords,关键词,,
library_label_plan_name,Plan Name,计划名称,,
library_label_start,Start,开始,,
library_msg_drag_lesson_material,Drag and drop a lesson material here,拖动到这里,,
library_label_published,Published,已发布,,
library_label_pending,Pending,待审核,,
library_label_unpublished,Unpublished,未发布,,
library_label_archived,Archived,已归档,,
library_label_empty,Empty,空的,,
library_label_search,Search,搜索,,
library_msg_no_results_found,No results found,没有搜索结果,,
library_label_my_only,My Only,只看我的,,
library_label_bulk_actions,Bulk Actions,批量处理,,
library_label_remove,Remove,移除,,
library_msg_remove_content,Are you sure you want to remove this content?,确定要移除这个内容吗？,,
library_msg_remove_select_one,At least one content should be selected.,至少选择一个内容。,,
library_label_sort_by,Sort By,排序,,
library_label_content_name_atoz,Content Name(A-Z),内容名称(A-Z),,
library_label_content_name_ztoa,Content Name(Z-A),内容名称(Z-A),,
library_label_created_on_newtoold,Created On(New-Old),创建时间(新-旧),,
library_label_created_on_oldtonew,Created On(Old-New),创建时间(旧-新),,
library_label_material,Material,教学素材,,
library_label_plan,Plan,教学计划,,
library_label_delete,Delete,删除,,
library_msg_delete_content,Are you sure you want to delete this content?,确定要删除这个内容吗？,,
library_label_draft,Draft,草稿,,
library_label_waiting_for_approval,Waiting for Approval,我提交的,,
library_label_rejected,Rejected,被拒绝,,
library_label_republish,Republish,重新发布,,
library_msg_republish_content,Are you sure you want to republish this content?,确定要重新发布这个内容吗？,,
library_label_name,Name,名称,,
library_label_created_on,Created On,创建时间,,
library_label_author,Author,发布者,,
library_label_edit,Edit,编辑,,
library_label_view_in,View in,-,,
library_label_kidsloop_live,KidsLoop Live,在线课堂,,
library_label_approve,Approve,通过,,
library_label_reject,Reject,拒绝,,
library_label_inappropriate_content,Inappropriate Content,内容不适宜,,
library_label_quality_of_lesson,Quality of Lesson is Poor,课程质量差,,
library_label_no_permissions_use_assets,No Permissions to Use Assets,没有权限使用资源库,,
library_label_add_remove_learning_outcomes,Add/Remove Learning Outcomes,添加/移除学习成果,,
library_label_other,Other,其他,,
library_msg_reject_content,Are you sure you want to reject this content?,确定要拒绝这个内容吗？,,
library_msg_reject_reason,Please specify the reason for rejection.,请输入拒绝理由。,,
library_label_reason,Reason,拒绝理由,,
library_msg_file_deleted,The file has been deleted,文件已被删除,,
library_label_previous,Previous,上一页,,
library_label_next,Next,下一页,,
library_label_edit_content,Edit Content,编辑内容,,
library_error_no_permissions,No permissions,没有权限,,
library_error_no_network_connection,No network connection,没有网络连接,,
library_error_unknown_error,Unknown error,未知错误,,
library_label_image,Image,图片,,
library_label_video,Video,视频,,
library_label_audio,Audio,音频,,
library_label_document,Document,文档,,
library_label_asset_name,Asset Name,资源名称,,
library_label_upload_a_file,Upload,上传文件,,
library_label_upload_a,Upload a {fillfileType} here,上传{fillfileType}格式的文件,,
library_label_upload,Upload,上传,,
library_label_file_type,File Type,文件类型,,
