Label,English,Chinese,Korean,Vietnamese
schedule_tab_schedule,Schedule,课表,,
schedue_button_schedule_class,Schedule Class,预定课程,,
schedule_button_search,Search,搜索,,
schedule_text_search_teacher,Search teacher,搜索老师,,
schedule_button_today,Today,今天,,
schedule_option_week,Week,周,,
schedule_option_day,Day,日,,
schedule_option_year,Year,年,,
schedule_option_workweek,Workweek,工作日,,
schedule_calendar_january,January,一月,,
schedule_calendar_february,February,二月,,
schedule_calendar_march,March,三月,,
schedule_calendar_april,April,四月,,
schedule_calendar_may,May,五月,,
schedule_calendar_june,June,六月,,
schedule_calendar_july,July,七月,,
schedule_calendar_august,August,八月,,
schedule_calendar_september,September,九月,,
schedule_calendar_october,October,十月,,
schedule_calendar_november,November,十一月,,
schedule_calendar_december,December,十二月,,
schedule_calendar_jan,Jan,一月,,
schedule_calendar_feb,Feb,二月,,
schedule_calendar_mar,Mar,三月,,
schedule_calendar_apr,Apr,四月,,
schedule_calendar_may,May,五月,,
schedule_calendar_jun,Jun,六月,,
schedule_calendar_jul,Jul,七月,,
schedule_calendar_aug,Aug,八月,,
schedule_calendar_sep,Sep,九月,,
schedule_calendar_oct,Oct,十月,,
schedule_calendar_nov,Nov,十一月,,
schedule_calendar_dec,Dec,十二月,,
schedule_calendar_mon,Mon,周一,,
schedule_calendar_tue,Tue,周二,,
schedule_calendar_wed,Wed,周三,,
schedule_calendar_thu,Thu,周四,,
schedule_calendar_fri,Fri,周五,,
schedule_calendar_sat,Sat,周六,,
schedule_calendar_sun,Sun,周日,,
schedule_calendar_mo,Mo,一,,
schedule_calendar_tu,Tu,二,,
schedule_calendar_we,We,三,,
schedule_calendar_th,Th,四,,
schedule_calendar_fr,Fr,五,,
schedule_calendar_sa,Sa,六,,
schedule_calendar_su,Su,日,,
schedule_detail_lesson_name,Lesson Name,课堂名称,,
schedule_detail_add_class,Add Class,添加班级,,
schedule_detail_lesson_plan,Lesson plan,教学计划,,
schedule_detail_teacher,Teacher,老师,,
schedule_detail_start_time,Start Time,开始时间,,
schedule_detail_end_time,End Time,结束时间,,
schedule_detail_year,Year,年,,
schedule_detail_month,Month,月,,
schedule_detail_day,Day,日,,
schedule_detail_all_day,All day,全天事件,,
schedule_detail_repeat,Repeat,重复周期,,
schedule_detail_subject,Subject,学科,,
schedule_detail_program,Program,课程,,
schedule_detail_class_type,Class Type,课程类型,,
schedule_detail_online_class,Live,在线课堂,,
schedule_detail_offline_class,Class,线下课堂,,
schedule_detail_homework,Study,家庭作业,,
schedule_detail_task,Task,课程任务,,
schedule_detail_due_date,Due Date,截止日期,,
schedule_detail_pick_time,Pick Time,选择时间,,
schedule_detail_description,Description,课堂描述,,
schedule_detail_attachment,Attachment,附件,,
schedule_detail_max,Max,最大尺寸,,
schedule_detail_support_files_in,Support files in,支持的文件格式有,,
schedule_detail_video,Video,视频,,
schedule_detail_audio,Audio,音频,,
schedule_detail_image,Image,图片,,
schedule_detail_document,Document,文档,,
schedule_button_preview,Preview,预览,,
schedule_button_go_live,Go Live,去上课,,
schedule_repeat_daily,Daily,按天,,
schedule_repeat_weekly,Weekly,按周,,
schedule_repeat_monthly,Monthly,按月,,
schedule_repeat_yearly,Yearly,按年,,
schedule_repeat_every,Repeat every,每,,
schedule_repeat_day,day(s),天,,
schedule_repeat_week,week(s),周,,
schedule_repeat_month,month(s),月,,
schedule_repeat_year,year(s),年,,
schedule_end_repeat,End Repeat,结束重复周期,,
schedule_repeat_never,Never,无结束日期,,
schedule_repeat_after,After,结束于,,
schedule_repeat_occurrence(s),Occurrence(s),次,,
